HudongItem,relation,NewNode
科学史,instance of,历史方面
肉瘤,topic's main category,Category:肉瘤
望天树,IUCN conservation status,濒危物种
大果榆,has fruit type,nucule
加纳,instance of,联合国会员国
巴拉那,located in the administrative territorial entity,帕拉纳县
1830年,has part,August 1830
执政官,described by source,Otto's encyclopedia
英联邦,headquarters location,西敏
Phillip,said to be the same as,Phylip
Morse,member of,美国文理科学院
康县,contains administrative territorial entity,白杨乡
Pearl,topic's main category,Category:Janis Joplin
PFU,subclass of,virus quantification
东魏,instance of,historical Chinese state
乙二醇,instance of,glycol
豚鼠科,parent taxon,豪猪下目
科学史,subclass of,历史学
长筒石蒜,parent taxon,石蒜属
氧化剂,subclass of,电子受体
加纳,named after,迦纳帝国
巴拉那,sister city,雷霍沃特
1830年,has part,April 1830
执政官,described by source,俄语百科全书
英联邦,flag,英联邦会旗
Morse,member of,斐陶斐荣誉学会
康县,contains administrative territorial entity,太石乡
甲酚,topic's main category,Category:甲酚
1411年,part of,1410年代
东魏,capital,洛阳市
中气,instance of,维基媒体消歧义页
豚鼠科,topic's main category,Category:豚鼠科
氧化剂,participant of,氧化
巴拉那,sister city,阿蒂加斯
1830年,has part,December 1830
英联邦,topic's main category,Category:英联邦
Morse,member of,American Antiquarian Society
康县,contains administrative territorial entity,铜钱乡
芦竹属,instance of,生物分类单元
眉豆,instance of,维基媒体消歧义页
甲酚,described by source,亚美尼亚苏维埃百科全书
1411年,follows,1410年
二氧化氮,has effect,nitrogen dioxide exposure
乙二醇,instance of,Class IIIB combustible liquid
氧化剂,has effect,还原
加纳,anthem,上帝保佑我们的家园－迦纳
巴拉那,topic's main category,Category:Paraná Argentina
1830年,has part,February 1830
英联邦,described by source,亚美尼亚苏维埃百科全书
Morse,genre,portrait painting
康县,contains administrative territorial entity,三河坝乡
JH,subclass of,蛋白质编码基因
成形,subclass of,金属加工
1411年,followed by,1412年
二氧化氮,described by source,俄语百科全书
乙二醇,has effect,ethylene glycol exposure
科学史,topic's main category,Category:科学史
氧化剂,subject has role,氧化
巴拉那,category of associated people,Category:People from Paraná Entre Ríos
1830年,has part,January 1830
英联邦,catalog,Wikipedia:基础条目
Morse,genre,风景画
康县,located in time zone,UTC+08:00
燃料乙醇,topic's main category,Category:乙醇燃料
芦竹属,parent taxon,Arundineae
1411年,topic's main category,Category:1411年
加纳,country,迦纳
巴拉那,category for people born here,Category:Births in Paraná Argentina
1830年,has part,June 1830
Morse,award received,Commanders of the Order of Isabella the Catholic
康县,topic's main category,Category:康县
传输线,topic's main category,Category:Transmission lines
李必湖,instance of,人类
离瓣寄生属,instance of,生物分类单元
灵长目,instance of,生物分类单元
情歌,subclass of,歌曲
芦竹属,taxonomic type,芦荻
JH,encodes,Hemojuvelin BMP co-receptor
氧化剂,used by,氧化还原反应
加纳,country,葡萄牙帝国
1830年,has part,May 1830
Morse,award received,Knight of the Legion of Honour
传输线,described by source,亚美尼亚苏维埃百科全书
日本人,instance of,国籍
情歌,topic's main category,Category:Love songs
芦竹属,topic's main category,Category:Arundo
JH,chromosome,1号染色体
氧化剂,topic's main category,Category:氧化剂
1830年,has part,March 1830
Morse,award received,美国国家发明家名人堂
述律皇后,instance of,人类
于松,instance of,法国市镇
心皮,subclass of,floral organ
Game,instance of,人类
群岛,subclass of,群岛
白尾海雕,instance of,生物分类单元
Purple,instance of,音乐专辑
李必湖,ethnic group,土家族
灵长目,parent taxon,Primatomorpha
日本人,studied by,日本学
芦竹属,described by source,Encyclopedia of Armenian Nature
JH,strand orientation,Reverse Strand
加纳,located on terrain feature,西部非洲
1830年,has part,November 1830
Morse,award received,knight of the Order of Saints Maurice and Lazarus
群岛,has part,岛屿
Purple,genre,油渍摇滚
离瓣寄生属,topic's main category,Category:离瓣寄生属
灵长目,parent taxon,胎盘类
日本人,topic's main category,Category:日本人
JH,ortholog,Hfe2
加纳,highest point,阿法贾托山
1830年,has part,October 1830
Morse,award received,Knight  of the Order of the Tower and Sword
Fusarium,instance of,生物分类单元
汝,instance of,English personal pronoun
李格非,instance of,人类
述律皇后,father,述律婆姑
于松,located in the administrative territorial entity,canton of Sauxillanges
心皮,described by source,Otto's encyclopedia
群岛,has part,小岛
白尾海雕,parent taxon,海鵰属
Purple,performer,石庙向导
日本人,described by source,亚美尼亚苏维埃百科全书
JH,ortholog,Hfe2
1830年,has part,September 1830
Morse,educated at,耶鲁大学
肝病,subclass of,hepatobiliary disease
Vanda,instance of,芬兰市镇
述律皇后,mother,撒葛只迷己
于松,located in the administrative territorial entity,多姆山省
白尾海雕,IUCN conservation status,无危物种
Purple,record label,大西洋唱片
灵长目,topic's main template,Template:Primate-stub
JH,ortholog,hjv
加纳,office held by head of state,迦纳元首
1830年,has part,July 1830
Morse,educated at,菲利普斯学院
Hag,instance of,音乐专辑
音乐学院,subclass of,music education organization
海南黄檀,instance of,生物分类单元
张波,instance of,人类
杜牧,instance of,人类
磅,instance of,质量单位
Fusarium,parent taxon,Nectriaceae
肝病,afflicts,肝脏
Vanda,instance of,Köping Sweden
述律皇后,sibling,萧阿古只
于松,located in the administrative territorial entity,伊苏瓦尔区
心皮,different from,Emi
灵长目,topic's main category,Category:灵长目
加纳,head of state,纳纳·阿库福-阿多
Morse,notable work,摩尔斯电码
Hag,genre,乡村音乐
音乐学院,topic's main category,Category:Music conservatories
茴香脑,instance of,anethole
Fusarium,topic's main category,Category:Fusarium
肝病,health specialty,胃肠学
Vanda,part of,新地选区
述律皇后,spouse,耶律阿保机
于松,member of,法国最美丽的村庄
Game,occupation,演员
Purple,follows,Core
灵长目,catalog,Wikipedia:基础条目
加纳,office held by head of government,迦纳元首
巴戟天,instance of,生物分类单元
藤春,instance of,生物分类单元
Dw,instance of,category in the Köppen climate classification system
成大,instance of,人类
Hag,performer,梅尔·哈格德
海南黄檀,parent taxon,檀属
Fusarium,described by source,Encyclopedia of Armenian Nature
肝病,drug used for treatment,bumetanide
Vanda,official language,芬兰语
述律皇后,child,耶律倍
于松,located in time zone,UTC+01:00
Game,occupation,饶舌者
Purple,follows,Unplugged
加纳,head of government,纳纳·阿库福-阿多
PHA,subclass of,蛋白质编码基因
根际,described by source,亚美尼亚苏维埃百科全书
Hag,record label,Capitol唱片
茴香脑,found in taxon,茴芹
张波,family name,张
嫩江县,contains administrative territorial entity,嫩江镇
磅,described by source,大保利古典学百科全书
肝病,drug used for treatment,阿糖脑苷酶
Vanda,official language,瑞典语
于松,located in time zone,UTC+02:00
Game,occupation,歌手
Purple,followed by,Tiny Music... Songs from the Vatican Gift Shop
加纳,executive body,迦纳政府
RCA,archives at,计算机历史博物馆
巴戟天,parent taxon,羊角藤属
根际,described by source,Dutch Wiktionary
嫩江县,contains administrative territorial entity,伊拉哈镇
肝病,drug used for treatment,呋塞米
述律皇后,child,耶律李胡
于松,shares border with,瓦地区圣让
Game,occupation,电视演员
加纳,legislative body,加纳议会
RCA,owned by,汤姆笙公司
藤春,IUCN conservation status,易危物种
PHA,encodes,Lamin B receptor
Hag,follows,A Tribute to the Best Damn Fiddle Player in the World
张波,occupation,足球运动员
嫩江县,contains administrative territorial entity,双山镇 (嫩江县)
杜牧,occupation,作家
肝病,drug used for treatment,ethacrynic acid
述律皇后,relative,萧室鲁
于松,shares border with,圣雷米德沙尔尼亚
Game,genre,嘻哈音乐
RCA,subsidiary,全国广播公司
PHA,encodes,Lamin-B receptor
Hag,followed by,The Land of Many Churches
张波,position played on team / speciality,中场
嫩江县,contains administrative territorial entity,多宝山镇
肝病,drug used for treatment,伊米苷酶
Vanda,located in the administrative territorial entity,Helsinki sub-region
述律皇后,relative,萧敌鲁
于松,shares border with,索克西朗热
Game,record label,Interscope 唱片
RCA,subsidiary,RCA唱片
PHA,chromosome,1号染色体
张波,member of sports team,火车头足球俱乐部
嫩江县,contains administrative territorial entity,海江镇
肝病,drug used for treatment,torsemide
Vanda,legislative body,Vantaa City Council
于松,shares border with,于松河畔瓦雷内
Game,record label,Aftermath唱片公司
RCA,headquarters location,洛克菲勒中心
PHA,strand orientation,Reverse Strand
张波,member of sports team,江苏舜天足球俱乐部
嫩江县,contains administrative territorial entity,前进镇
肝病,drug used for treatment,ethacrynate sodium
Vanda,located in time zone,UTC+02:00
Game,educated at,Compton High School
PHA,ortholog,Lbr
张波,member of sports team,成都谢菲联足球俱乐部
嫩江县,contains administrative territorial entity,长福镇
肝病,topic's main category,Category:Diseases of liver
Vanda,located in time zone,UTC+03:00
Game,discography,Game discography
加纳,diplomatic relation,奈及利亚
RCA,product or material produced,RCA Photophone
PHA,ortholog,ERG24
嫩江县,contains administrative territorial entity,科洛镇
Vanda,sister city,阿希姆
加纳,diplomatic relation,布吉纳法索
RCA,product or material produced,留声机
PHA,ortholog,Lbr
嫩江县,contains administrative territorial entity,临江乡
Vanda,sister city,奥得河畔法兰克福
RCA,product or material produced,影碟
PHA,ortholog,LBR
嫩江县,contains administrative territorial entity,联兴乡
Vanda,sister city,胡丁厄市
PHA,ortholog,lbr
嫩江县,contains administrative territorial entity,白云乡
RCA,product or material produced,RCA Studio II
嫩江县,contains administrative territorial entity,塔溪乡
Vanda,sister city,基涅什马
RCA,topic's main category,Category:RCA
嫩江县,contains administrative territorial entity,霍龙门乡
Vanda,sister city,姆拉达-博莱斯拉夫
加纳,diplomatic relation,台湾
嫩江县,contains administrative territorial entity,长江乡
Vanda,sister city,努克
嫩江县,located in time zone,UTC+08:00
Vanda,sister city,绍尔戈陶尔扬
Vanda,sister city,塞济斯菲厄泽
Vanda,sister city,斯武普斯克
白杨,instance of,人类
厦门市,instance of,副省级市
马萨诸塞大学,instance of,州立大学系统
Erwin,instance of,男性人名
Vanda,sister city,拉施塔特县
厦门市,instance of,地级市
Erwin,significant event,frequency of first names in the Netherlands 2010
Vanda,sister city,温得和克
breeding,instance of,人类性行为
交通大学,instance of,大学
叶轮木,instance of,生物分类单元
谢里夫,instance of,人类
木土,instance of,人类
苯甲酸甲酯,instance of,benzoic acid esters
厦门市,instance of,百万人口城市
马萨诸塞大学,located in the administrative territorial entity,麻萨诸塞州
科特迪瓦,instance of,主权国家
Vanda,sister city,灵比-托拜克自治市
交通大学,country,台湾
马萨诸塞大学,subsidiary,University of Massachusetts Medical School
科特迪瓦,instance of,联合国会员国
Vanda,shares border with,埃斯波
Ottawa,instance of,Census subdivision
鹿儿岛,instance of,维基媒体消歧义页
Aqueduct,instance of,乐队
交通大学,located in the administrative territorial entity,新竹市
叶轮木,parent taxon,叶轮木属
木土,father,木初
烟酸缺乏症,subclass of,nutritional deficiency disease
马萨诸塞大学,subsidiary,马萨诸塞大学阿默斯特分校
科特迪瓦,named after,elephant ivory
670年,part of,670年代
Ottawa,instance of,单层自治区
Aqueduct,genre,独立摇滚
PDE,topic's main category,Category:偏微分方程
605年,part of,600年代
Rc,subclass of,蛋白质编码基因
breeding,subclass of,性交
交通大学,member of,ORCID
谢里夫,place of birth,拉合尔
木土,child,木森
烟酸缺乏症,has cause,niacin deficiency
白杨,child,蒋晓松
厦门市,contains administrative territorial entity,思明区
马萨诸塞大学,subsidiary,麻州大学波士顿分校
Erwin,said to be the same as,Ervin
Vanda,shares border with,锡博
加纳,member of,非洲联盟
同方,instance of,维基媒体消歧义页
痘苗病毒,instance of,生物分类单元
Gazette,instance of,日报
Aqueduct,record label,Barsuk Records
PDE,described by source,亚美尼亚苏维埃百科全书
breeding,subclass of,vaginal intercourse
交通大学,parent organization,台湾联合大学系统
谢里夫,father,Muhammad Sharif
烟酸缺乏症,health specialty,内分泌学
白杨,occupation,演员
厦门市,contains administrative territorial entity,海沧区
马萨诸塞大学,subsidiary,麻州大学达特茅斯分校
Erwin,said to be the same as,Ervino
科特迪瓦,anthem,阿比让之歌
Vanda,shares border with,凯拉瓦
加纳,member of,世界贸易组织
布政使,topic's main category,Category:承宣布政使司布政使
女仆,subclass of,仆人
Gazette,founded by,Fleury Mesplet
木高,instance of,人类
670年,followed by,671年
605年,followed by,606年
Rc,encodes,Human immunodeficiency virus type I enhancer binding protein 3
黄蜂,topic's main category,Category:Wasps
breeding,subclass of,肛交
交通大学,topic's main category,Category:国立交通大学
谢里夫,sibling,沙赫巴兹·谢里夫
厦门市,contains administrative territorial entity,湖里区
马萨诸塞大学,subsidiary,马萨诸塞大学洛厄尔分校
Vanda,shares border with,图苏拉
加纳,member of,国际复兴开发银行
1736年,part of,1730年代
痘苗病毒,parent taxon,痘病毒属
670年,topic's main category,Category:670年
Ottawa,part of,Ottawa–Rideau
605年,topic's main category,Category:605年
Rc,chromosome,1号染色体
黄蜂,described by source,大英百科全书第十一版
谢里夫,sibling,Abbas Sharif
厦门市,contains administrative territorial entity,集美区
马萨诸塞大学,subsidiary,Massachusetts College of Liberal Arts
Vanda,shares border with,努尔米耶尔维
加纳,member of,国际开发协会
女仆,topic's main category,Category:maids
木高,father,木公 (土司)
Ottawa,named after,渥太华
Rc,strand orientation,Reverse Strand
黄蜂,described by source,亚美尼亚苏维埃百科全书
谢里夫,spouse,库尔苏姆·纳瓦兹·谢里夫
厦门市,contains administrative territorial entity,同安区
科特迪瓦,capital,亚穆苏克罗
Vanda,topic's main category,Category:Vantaa
加纳,member of,国际金融公司
痘苗病毒,topic's main category,Category:Vaccinia
Gazette,newspaper format,大报
木高,child,木东
Rc,ortholog,Hivep3
谢里夫,child,玛丽安·纳瓦兹·谢里夫
烟酸缺乏症,drug used for treatment,niacinamide hydriodide
厦门市,contains administrative territorial entity,翔安区
马萨诸塞大学,topic's main category,Category:麻萨诸塞大学
科特迪瓦,capital,阿比让
Vanda,category of associated people,Category:People from Vantaa
加纳,member of,多边投资担保机构
1736年,topic's main category,Category:1736年
痘苗病毒,ICTV virus genome composition,dsDNA Virus
Gazette,owned by,邮报传媒
Rc,ortholog,Hivep3
谢里夫,child,Hussain Nawaz
烟酸缺乏症,described by source,亚美尼亚苏维埃百科全书
厦门市,located in time zone,UTC+08:00
科特迪瓦,located on terrain feature,西部非洲
Vanda,category for people who died here,Category:Deaths in Vantaa
加纳,member of,国际投资争端解决中心
Gazette,topic's main category,Category:Montreal Gazette
Rc,ortholog,hivep3
谢里夫,child,Hassan Nawaz
厦门市,sister city,杜尚别
科特迪瓦,highest point,宁巴峰
Vanda,history of topic,history of Vantaa
加纳,member of,非洲开发银行
Gazette,different from,UWO Gazette
Ottawa,located in or next to body of water,渥太华河
谢里夫,occupation,政治人物
厦门市,sister city,Wellington City
加纳,member of,非洲联盟-联合国达尔富尔混合行动
Ottawa,office held by head of government,Mayor of Ottawa
谢里夫,occupation,cricketer
厦门市,sister city,考那斯
科特迪瓦,office held by head of state,President of Ivory Coast
加纳,member of,非洲、加勒比和太平洋国家集团
Ottawa,head of government,吉姆·沃森
科特迪瓦,head of state,阿拉萨内·瓦塔拉
加纳,member of,国际刑警组织
Ottawa,legislative body,Ottawa City Council
谢里夫,occupation,律师
科特迪瓦,office held by head of government,Prime Minister of Ivory Coast
加纳,member of,禁止化学武器组织
Ottawa,located in time zone,北美东部时区
谢里夫,position held,巴基斯坦总理
厦门市,sister city,佐世保市
科特迪瓦,head of government,阿马杜·戈恩·库里巴利
加纳,member of,联合国教育、科学与文化组织
Ottawa,sister city,开罗
谢里夫,position held,Defence Minister of Pakistan
厦门市,sister city,巴尔的摩
科特迪瓦,legislative body,Parliament of Ivory Coast
加纳,member of,Group on Earth Observations
谢里夫,position held,巴基斯坦财政部长
滑水,instance of,水类运动
Fan,instance of,汉姓
花脸,instance of,theater character
Ottawa,sister city,卡塔尼亚
谢里夫,position held,Leader of the Opposition
厦门市,topic's main category,Category:厦门
科特迪瓦,diplomatic relation,迦纳
加纳,contains administrative territorial entity,阿散蒂地区
滑水,subclass of,滑雪
白,instance of,汉姓
Ottawa,sister city,蒙泰卡斯特里利
谢里夫,position held,省长
厦门市,category of associated people,Category:厦门人
加纳,contains administrative territorial entity,布朗阿哈福地区
直辖市,subclass of,罗马尼亚行政区划
包涵体,instance of,cellular component
荡口镇,instance of,行政建制镇
周共王,instance of,人类
魅力,instance of,属性
滑水,practiced by,water skier
髂骨,topic's main category,Category:Ilium (bone)
Ottawa,sister city,布宜诺斯艾利斯
谢里夫,position held,巴基斯坦总理
厦门市,described by source,Great Soviet Encyclopedia (1926—1947)
加纳,contains administrative territorial entity,中部地区
包涵体,subclass of,intracellular part
环氧氯丙烷,instance of,Class IC flammable liquid
版本,instance of,活动
滑水,topic's main category,Category:Waterskiing
硝化纤维,discoverer or inventor,尚班
髂骨,described by source,Gray's Anatomy (20th edition)
Ottawa,sister city,巴勒莫
谢里夫,position held,巴基斯坦总理
厦门市,described by source,俄语百科全书
加纳,contains administrative territorial entity,东部地区
Plantain,instance of,生物分类单元
耳草,instance of,生物分类单元
鳅科,instance of,生物分类单元
蔓荆子,instance of,生物分类单元
暗鳜,instance of,生物分类单元
直辖市,subclass of,LAU 2
荡口镇,located in the administrative territorial entity,锡山区
环氧氯丙烷,instance of,occupational carcinogen
Burman,language of work or name,瑞典语
版本,different from,书籍版本
硝化纤维,described by source,俄语百科全书
Ottawa,sister city,坎波巴索
谢里夫,position held,Member of the 14th National Assembly of Pakistan
厦门市,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
加纳,contains administrative territorial entity,大阿克拉地区
1869年,part of,1860年代
直辖市,country,罗马尼亚
荡口镇,located in time zone,UTC+08:00
周共王,sibling,周孝王
Burman,language of work or name,荷兰语
版本,different from,circulation
Ottawa,shares border with,加蒂诺
谢里夫,significant event,巴拿马文件洩漏事件
厦门市,described by source,Sytin Military Encyclopedia
加纳,contains administrative territorial entity,北部地区
公告,subclass of,报告
卡布里,instance of,法国市镇
银杏目,instance of,生物分类单元
Plantain,parent taxon,车前属
耳草,parent taxon,耳草属
鳅科,parent taxon,Cobitoidea
暗鳜,parent taxon,鳜属
外高加索,topic's main category,Category:Transcaucasia
直辖市,topic's main category,Category:Cities in Romania
周共王,spouse,王妫
环氧氯丙烷,has effect,Epichlorohydrin exposure
Burman,language of work or name,爱沙尼亚语
硝化纤维,has part,氢
Ottawa,shares border with,Papineau Regional County Municipality
谢里夫,award received,搞笑诺贝尔奖
加纳,contains administrative territorial entity,东北地区
公告,subclass of,讯息
鼹鼠,topic's main category,Category:Moles
松香,subclass of,intermediate product
耳草,subject has role,basionym
暗鳜,IUCN conservation status,无危物种
周共王,child,周懿王
Ottawa,shares border with,North Dundas
谢里夫,award received,圣米迦勒及圣乔治爵级大十字勳章
加纳,contains administrative territorial entity,西北地区
黄平县,capital,新州镇 (黄平县)
鼹鼠,different from,Mole
卡布里,located in the administrative territorial entity,canton of Saint-Vallier-de-Thiey
松香,part of,naval stores
银杏目,parent taxon,Ginkgoidae
鳅科,topic's main category,Category:鳅科
1869年,topic's main category,Category:1869年
Ottawa,shares border with,Clarence-Rockland
谢里夫,award received,Grand Collar of the Order of Good Hope
加纳,contains administrative territorial entity,沃尔特地区
黄平县,located in the administrative territorial entity,黔东南苗族侗族自治州
卡布里,located in the administrative territorial entity,滨海阿尔卑斯省
松香,material used,plant resin
银杏目,topic's main category,Category:银杏目
鳅科,described by source,Encyclopedia of Armenian Nature
1869年,has part,August 1869
Ottawa,shares border with,Russell
谢里夫,award received,Order of the Republic Medal of Turkey
加纳,contains administrative territorial entity,西部地区
黄平县,contains administrative territorial entity,新州镇 (黄平县)
卡布里,located in the administrative territorial entity,格拉斯区
1869年,has part,April 1869
Ottawa,shares border with,The Nation
谢里夫,educated at,政府学院大学 (拉合尔)
科特迪瓦,member of,非洲联盟
加纳,located in time zone,UTC±00:00
黄平县,contains administrative territorial entity,旧州镇 (黄平县)
卡布里,located in time zone,UTC+01:00
松香,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
1869年,has part,December 1869
Ottawa,shares border with,North Grenville
谢里夫,educated at,Punjab University Law College
科特迪瓦,member of,世界贸易组织
加纳,currency,迦纳塞地
黄平县,contains administrative territorial entity,重安镇
卡布里,located in time zone,UTC+02:00
松香,described by source,Riemann's Music Dictionary (1901-1904)
1869年,has part,February 1869
Ottawa,shares border with,Montague Ontario
谢里夫,residence,Prime Minister's Secretariat (Pakistan)
科特迪瓦,member of,伊斯兰会议组织
加纳,shares border with,布吉纳法索
黄平县,contains administrative territorial entity,谷陇镇
1869年,has part,July 1869
Ottawa,shares border with,Beckwith Ontario
谢里夫,residence,拉合尔
科特迪瓦,member of,国际复兴开发银行
黄平县,contains administrative territorial entity,平溪镇 (黄平县)
卡布里,shares border with,佩梅纳德
1869年,has part,June 1869
Ottawa,shares border with,Mississippi Mills
科特迪瓦,member of,国际开发协会
黄平县,contains administrative territorial entity,野洞河镇
卡布里,shares border with,圣瓦利耶德蒂耶伊
1869年,has part,May 1869
Ottawa,shares border with,Arnprior
谢里夫,residence,吉达
科特迪瓦,member of,国际金融公司
加纳,flag,加纳国旗
黄平县,contains administrative territorial entity,上塘镇 (黄平县)
卡布里,shares border with,斯佩拉塞代
1869年,has part,March 1869
Ottawa,shares border with,Pontiac
谢里夫,member of political party,Pakistan Muslim League
科特迪瓦,member of,多边投资担保机构
加纳,coat of arms,加纳国徽
子囊菌门,instance of,生物分类单元
直方,instance of,男性人名
御史,topic's main category,Category:御史
耳垂,part of,耳壳
林利,instance of,人类
地板,instance of,use
黄平县,contains administrative territorial entity,一碗水乡
1869年,has part,November 1869
Ottawa,flag,flag of Ottawa
谢里夫,member of political party,巴基斯坦穆斯林联盟（谢里夫派）
科特迪瓦,member of,国际投资争端解决中心
加纳,driving side,右
1941年,part of,1940年代
耳垂,described by source,Gray's Anatomy (20th edition)
地板,subclass of,建筑元素
黄平县,contains administrative territorial entity,纸房乡
1869年,has part,September 1869
Ottawa,topic's main Wikimedia portal,Portal:Ottawa
谢里夫,religion,逊尼派
科特迪瓦,member of,非洲开发银行
加纳,electrical plug type,Type D
茶条槭,instance of,生物分类单元
大头鳕,instance of,生物分类单元
roux,instance of,增黏剂
象形文字,subclass of,形意文字
赫格尔,located in the administrative territorial entity,北弗里斯兰县
子囊菌门,parent taxon,双核亚界
地板,has quality,number of floors
黄平县,contains administrative territorial entity,浪洞镇
1869年,has part,January 1869
Ottawa,topic's main category,Category:渥太华
科特迪瓦,member of,非洲、加勒比和太平洋国家集团
加纳,electrical plug type,BS 1363
茶条槭,taxon rank,亚种
昆虫学家,subclass of,动物学家
象形文字,used by,pictographic writing
赫格尔,located in time zone,UTC+01:00
子囊菌门,topic's main category,Category:双核亚界
林利,occupation,歌手
黄平县,contains administrative territorial entity,翁坪乡
1869年,has part,October 1869
Ottawa,category of associated people,Category:渥太华人
谢里夫,topic's main category,Category:Nawaz Sharif
科特迪瓦,member of,OHADA
加纳,has quality,Free country
沅江,instance of,维基媒体消歧义页
泥蜂科,instance of,生物分类单元
白话文,instance of,书面语
山柰,instance of,生物分类单元
黄泡,instance of,维基媒体重复页面
松果腺,instance of,brain region
大马士革,instance of,百万人口城市
茶条槭,parent taxon,Acer tataricum
象形文字,topic's main category,Category:Pictograms
兴隆县,capital,兴隆镇 (兴隆县)
赫格尔,located in time zone,UTC+02:00
1941年,topic's main category,Category:1941年
林利,occupation,演员
地板,topic's main category,Category:Floors
黄平县,located in time zone,UTC+08:00
Ottawa,category for people born here,Category:Births in Ottawa
谢里夫,described by source,Lentapedia
科特迪瓦,member of,Conseil de l'Entente
加纳,top-level Internet domain,.gh
松果腺,part of,上丘脑
大马士革,instance of,遗迹
茶条槭,basionym,Acer ginnala
昆虫学家,topic's main category,Category:昆虫学家
兴隆县,located in the administrative territorial entity,承德市
赫格尔,shares border with,吕特延霍尔姆
1941年,has part,August 1941
地板,described by source,亚美尼亚苏维埃百科全书
Ottawa,category for people who died here,Category:Deaths in Ottawa
谢里夫,described by source,Lentapedia (full versions)
科特迪瓦,member of,国际刑警组织
加纳,topic's main Wikimedia portal,Portal:Ghana
泥蜂科,parent taxon,Spheciformes
白话文,creator,胡适
山柰,parent taxon,山柰属
松果腺,described by source,Gray's Anatomy (20th edition)
贝达,capital of,绿山省
大马士革,part of,Hauran
兴隆县,contains administrative territorial entity,兴隆镇 (兴隆县)
赫格尔,topic's main category,Category:Högel
1941年,has part,April 1941
地板,described by source,Otto's encyclopedia
Ottawa,category for films shot at this location,Category:Films shot in Ottawa
科特迪瓦,member of,禁止化学武器组织
加纳,topic's main category,Category:加纳
兴隆县,contains administrative territorial entity,半壁山镇
1941年,has part,December 1941
Ottawa,geography of topic,geography of Ottawa
科特迪瓦,member of,联合国教育、科学与文化组织
加纳,category of associated people,Category:加纳人
泥蜂科,topic's main category,Category:Sphecidae
贝达,located in time zone,UTC+02:00
大马士革,country,四大哈里发
兴隆县,contains administrative territorial entity,挂兰峪镇
1941年,has part,February 1941
科特迪瓦,member of,Group on Earth Observations
加纳,category for people born here,Category:Births in Ghana
贝达,topic's main category,Category:Bayda Libya
大马士革,country,倭马亚王朝
兴隆县,contains administrative territorial entity,青松岭镇
1941年,has part,January 1941
科特迪瓦,contains administrative territorial entity,阿涅比区
加纳,category for people who died here,Category:Deaths in Ghana
兴隆县,contains administrative territorial entity,六道河镇
1941年,has part,July 1941
科特迪瓦,contains administrative territorial entity,上萨桑德拉区
加纳,category of people buried here,Category:Burials in Ghana
大马士革,capital of,阿拔斯王朝
兴隆县,contains administrative territorial entity,平安堡镇
1941年,has part,June 1941
科特迪瓦,contains administrative territorial entity,巴芬区
加纳,category for films shot at this location,Category:加纳取景电影
大马士革,capital of,倭马亚王朝
兴隆县,contains administrative territorial entity,北营房镇
1941年,has part,May 1941
科特迪瓦,contains administrative territorial entity,南邦达马区
加纳,emergency phone number,999
大马士革,located in the administrative territorial entity,大马士革省 (叙利亚)
兴隆县,contains administrative territorial entity,孤山子镇 (兴隆县)
1941年,has part,March 1941
科特迪瓦,contains administrative territorial entity,下萨桑德拉区
加纳,emergency phone number,191
兴隆县,contains administrative territorial entity,蓝旗营镇
1941年,has part,November 1941
科特迪瓦,contains administrative territorial entity,南科莫埃区
加纳,emergency phone number,192
大马士革,located in the administrative territorial entity,Phoenice
兴隆县,contains administrative territorial entity,南天门满族乡
1941年,has part,October 1941
科特迪瓦,contains administrative territorial entity,登盖莱区
大马士革,located in or next to body of water,巴拉达河
兴隆县,contains administrative territorial entity,八卦岭满族乡
1941年,has part,September 1941
科特迪瓦,contains administrative territorial entity,弗罗马格尔区
加纳,geography of topic,加纳地理
Oats,instance of,纯种马
乌头叶蛇葡萄,instance of,生物分类单元
赵善欢,instance of,人类
堇菜科,instance of,生物分类单元
PVD,instance of,机场
鲍恩,instance of,维基媒体消歧义页
大马士革,head of government,Bishr Al Sabban
兴隆县,contains administrative territorial entity,陡子峪乡
Oats,instance of,竞赛马
大马士革,located in time zone,UTC+02:00
兴隆县,contains administrative territorial entity,上石洞乡
科特迪瓦,contains administrative territorial entity,潟湖区
日本林蛙,instance of,生物分类单元
高林,instance of,人类
苕子,instance of,生物分类单元
温度传感器,subclass of,电力元件
乐土,instance of,电子游戏
南岛,instance of,岛屿
乌头叶蛇葡萄,parent taxon,蛇葡萄属
赵善欢,member of,中国科学院生命科学和医学学部
PVD,located in the administrative territorial entity,罗德岛州
1836年,part of,1830年代
大马士革,sister city,安卡拉
兴隆县,contains administrative territorial entity,雾灵山镇
科特迪瓦,contains administrative territorial entity,马拉韦区
乐土,genre,大型多人在线角色扮演游戏
Oats,child,Flakey Dove
堇菜科,parent taxon,Parietales
PVD,place served by transport hub,普罗维登斯
大马士革,sister city,代尼兹利
兴隆县,contains administrative territorial entity,李家营镇
科特迪瓦,contains administrative territorial entity,中卡瓦利区
霍伊尔,instance of,人类
天地,instance of,人类
中型车,instance of,汽车种类
hae,instance of,letter of the Georgian alphabet
魏襄王,instance of,人类
Latham,instance of,人类
日本林蛙,parent taxon,蛙属
苕子,parent taxon,蚕豆属
Oats,child,Master Oats
